行业,月份,日期,销售额
制造业,1,2024-01-15,2967.9
制造业,2,2024-02-15,3079.6
制造业,3,2024-03-15,3403.9
制造业,4,2024-04-15,"1,250.5"
制造业,5,2024-05-15,3190.8
制造业,6,2024-06-15,2753.9
 制造业,7,2024-07-15,3365.1
制造业,8,2024-08-15,3496.5
制造业,9,2024-09-15,¥3200
制造业,10,2024-10-15,3864.4
制造业,11,2024-11-15,3749.4
制造业,12,2024-12-15,3451.1
零售业,1,2024-01-15,3001.2
零售业,2,2024-02-15,3081.3
零售业,3,2024-03-15,3036.8
零售业,4,2024-04-15,
零售业,5,2024-05-15,2756.2
零售业,6,2024-06-15,3148.6
零售业,7,2024-07-15,3081.0
零售业 ,8,2024-08-15,3038.2
零售业,9,2024-09-15,3129.0
零售业,10,2024-10-15,3092.3
零售业,11,2024-11-15,
零售业,12,2024-12-15,2652.9
批发业,1,2024-01-15,2299.1
批发业,2,2024-02-15,2477.8
批发业,3,2024-03-15,2612.4
批发业,4,2024-04-15,99999
批发业,5,2024-05-15,1736.5
批发 业,6,2024-06-15,2271.9
批发业,7,2024-07-15,2480.0
批发业,8,2024-08-15,-800
批发业,9,2024-09-15,2846.7
批发业,10,2024-10-15,2478.5
批发业,11,2024-11-15,2468.3
餐饮业,12,2024-12-15,2764.2
餐饮业,12,2024-12-15,2764.2
餐饮业,2,2024-02-15,1524.6
餐饮业,3,2024-03-15,2003.3
餐饮业,4,2024-04-15,1827.6
餐饮业,5,2024-2-30,1703.1
餐饮业,6,2024-06-15,2037.3
餐饮业,7,2024-07-15,1290.5
餐饮业,8,2024-08-15,1952.1
餐饮业,9,2024/13/01,1712.2
餐饮业,10,2024-10-15,1320.6
餐饮业,11,2024-11-15,1871.3
餐饮业,12,2024-12-15,1584.7
建筑业,1,2024-01-15,4385.4
建筑业,2,2024-02-15,4320.9
建筑业,3,2024-03-15,4279.1
建筑业,4,2024-04-15,4310.7
建筑业,5,2024-05-15,4239.7
建筑业,6,2024-06-15,4519.0
建筑业,7,2024-07-15,4144.4
建筑业,8,2024-08-15,4432.3
建筑业,9,2024-09-15,4444.6
建筑业,10,2024-10-15,4511.7
建筑业,11,2024-11-15,4653.6
建筑业,12,2024-12-15,4568.8
