户号,月电费(元)
户001,200.6
户002,40.2
户003,50.7
户004,52.9
户005,31.7
户006,62.3
户007,90.0
户008,71.3
户009,98.9
户010,45.8
户011,90.9
户012,64.1
户013,143.8
户014,51.4
户015,220.4
户016,72.7
户017,100.1
户018,33.6
户019,49.8
户020,102.9
户021,31.3
户022,203.9
户023,51.2
户024,110.7
户025,164.1
户026,53.7
户027,102.1
户028,52.4
户029,72.0
户030,55.2
户031,69.4
户032,72.1
户033,84.4
户034,159.2
户035,55.4
户036,71.0
户037,61.5
户038,196.9
户039,29.6
户040,38.1
户041,36.1
户042,57.1
户043,43.4
户044,29.6
户045,71.6
户046,211.3
户047,65.8
户048,48.7
户049,40.1
户050,55.0
户051,120.1
户052,59.6
户053,62.4
户054,97.9
户055,37.9
户056,50.1
户057,93.0
户058,81.9
户059,22.4
户060,169.4
户061,112.8
户062,50.8
户063,64.8
户064,91.6
户065,30.0
户066,57.9
户067,70.4
户068,51.8
户069,37.1
户070,228.3
户071,22.9
户072,155.9
户073,75.6
户074,115.7
户075,212.1
户076,203.3
户077,51.7
户078,115.7
户079,25.6
户080,47.7
户081,207.3
户082,68.3
户083,29.0
户084,48.6
户085,60.9
户086,172.4
户087,49.8
户088,85.0
户089,24.0
户090,54.1
户091,33.4
户092,32.4
户093,78.2
户094,153.1
户095,42.8
户096,137.8
户097,81.7
户098,58.7
户099,110.3
户100,192.9
