日期,商品类目,访客数
2024-01-01,服装,2577
2024-01-01,数码,2175
2024-01-01,家居,1500
2024-01-01,食品,1283
2024-01-01,美妆,933
2024-01-01,图书,563
2024-01-02,服装,2516
2024-01-02,数码,2110
2024-01-02,家居,1602
2024-01-02,食品,1297
2024-01-02,美妆,750
2024-01-02,图书,696
2024-01-03,服装,2680
2024-01-03,数码,1993
2024-01-03,家居,1636
2024-01-03,食品,1313
2024-01-03,美妆,969
2024-01-03,图书,516
2024-01-04,服装,2679
2024-01-04,数码,2074
2024-01-04,家居,1785
2024-01-04,食品,1306
2024-01-04,美妆,767
2024-01-04,图书,623
2024-01-05,服装,2512
2024-01-05,数码,2200
2024-01-05,家居,1448
2024-01-05,食品,1183
2024-01-05,美妆,814
2024-01-05,图书,559
2024-01-06,服装,3724
2024-01-06,数码,2646
2024-01-06,家居,2292
2024-01-06,食品,1758
2024-01-06,美妆,1202
2024-01-06,图书,781
2024-01-07,服装,3535
2024-01-07,数码,2812
2024-01-07,家居,2197
2024-01-07,食品,1782
2024-01-07,美妆,1191
2024-01-07,图书,807
