年份,月份,办事处,销售额(万元)
2022,1,华东办事处,540.2
2022,1,华南办事处,393.4
2022,1,华北办事处,337.2
2022,2,华东办事处,591.4
2022,2,华南办事处,398.5
2022,2,华北办事处,277.5
2022,3,华东办事处,665.6
2022,3,华南办事处,490.7
2022,3,华北办事处,347.9
2022,4,华东办事处,640.1
2022,4,华南办事处,472.6
2022,4,华北办事处,349.9
2022,5,华东办事处,727.7
2022,5,华南办事处,562.3
2022,5,华北办事处,373.8
2022,6,华东办事处,703.4
2022,6,华南办事处,457.4
2022,6,华北办事处,449.4
2022,7,华东办事处,696.9
2022,7,华南办事处,502.7
2022,7,华北办事处,402.5
2022,8,华东办事处,757.2
2022,8,华南办事处,538.9
2022,8,华北办事处,388.6
2022,9,华东办事处,707.5
2022,9,华南办事处,561.6
2022,9,华北办事处,389.9
2022,10,华东办事处,743.6
2022,10,华南办事处,611.0
2022,10,华北办事处,411.3
2022,11,华东办事处,871.1
2022,11,华南办事处,690.3
2022,11,华北办事处,469.0
2022,12,华东办事处,958.9
2022,12,华南办事处,802.8
2022,12,华北办事处,614.1
2023,1,华东办事处,621.2
2023,1,华南办事处,459.9
2023,1,华北办事处,292.6
2023,2,华东办事处,703.8
2023,2,华南办事处,505.2
2023,2,华北办事处,383.6
2023,3,华东办事处,716.1
2023,3,华南办事处,530.9
2023,3,华北办事处,378.9
2023,4,华东办事处,785.4
2023,4,华南办事处,575.1
2023,4,华北办事处,481.1
2023,5,华东办事处,809.5
2023,5,华南办事处,592.6
2023,5,华北办事处,493.5
2023,6,华东办事处,874.5
2023,6,华南办事处,570.9
2023,6,华北办事处,459.8
2023,7,华东办事处,749.2
2023,7,华南办事处,630.6
2023,7,华北办事处,486.6
2023,8,华东办事处,813.6
2023,8,华南办事处,653.5
2023,8,华北办事处,436.2
2023,9,华东办事处,917.6
2023,9,华南办事处,715.9
2023,9,华北办事处,485.2
2023,10,华东办事处,996.8
2023,10,华南办事处,688.2
2023,10,华北办事处,598.4
2023,11,华东办事处,1101.8
2023,11,华南办事处,833.2
2023,11,华北办事处,579.6
2023,12,华东办事处,1091.2
2023,12,华南办事处,865.1
2023,12,华北办事处,641.5
2024,1,华东办事处,742.6
2024,1,华南办事处,559.4
2024,1,华北办事处,391.0
2024,2,华东办事处,796.3
2024,2,华南办事处,574.5
2024,2,华北办事处,433.1
2024,3,华东办事处,828.2
2024,3,华南办事处,683.6
2024,3,华北办事处,493.4
2024,4,华东办事处,894.3
2024,4,华南办事处,702.3
2024,4,华北办事处,504.1
2024,5,华东办事处,963.1
2024,5,华南办事处,749.1
2024,5,华北办事处,494.3
2024,6,华东办事处,1004.0
2024,6,华南办事处,674.1
2024,6,华北办事处,573.3
2024,7,华东办事处,936.9
2024,7,华南办事处,662.5
2024,7,华北办事处,522.8
2024,8,华东办事处,984.7
2024,8,华南办事处,668.6
2024,8,华北办事处,572.3
2024,9,华东办事处,1000.8
2024,9,华南办事处,830.4
2024,9,华北办事处,591.5
2024,10,华东办事处,1121.4
2024,10,华南办事处,811.6
2024,10,华北办事处,588.0
2024,11,华东办事处,1240.5
2024,11,华南办事处,940.5
2024,11,华北办事处,695.3
2024,12,华东办事处,1295.3
2024,12,华南办事处,1007.0
2024,12,华北办事处,725.1
